RegionID,RegionName,City,State,Median Sales Price,Median Rental
394913,"New York, NY",New York,NY,"$391,300","$3,000"
753899,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles-Long Beach-Anaheim,CA,"$629,800","$3,200"
394463,"Chicago, IL",Chicago,IL,"$246,500","$1,750"
394514,"Dallas-Fort Worth, TX",Dallas-Fort Worth,TX,"$257,600","$1,750"
394974,"Philadelphia, PA",Philadelphia,PA,"$218,600","$1,600"
395209,"Washington, DC",Washington,DC,"$392,400","$2,250"
394856,"Miami-Fort Lauderdale, FL",Miami-Fort Lauderdale,FL,"$270,400","$2,100"
394347,"Atlanta, GA",Atlanta,GA,"$219,100","$1,550"
394404,"Boston, MA",Boston,MA,"$438,800","$2,600"
395057,"San Francisco, CA",San Francisco,CA,"$790,800","$3,410"
395025,"Riverside, CA",Riverside,CA,"$351,500","$2,195"
394976,"Phoenix, AZ",Phoenix,AZ,"$250,700","$1,595"
395078,"Seattle, WA",Seattle,WA,"$468,700","$2,400"
394865,"Minneapolis-St Paul, MN",Minneapolis-St Paul,MN,"$265,600","$1,700"
395056,"San Diego, CA",San Diego,CA,"$557,700","$2,723"
395121,"St. Louis, MO",St. Louis,MO,"$166,300","$1,100"
395148,"Tampa, FL",Tampa,FL,"$217,500","$1,575"
394358,"Baltimore, MD",Baltimore,MD,"$251,200","$1,625"
394530,"Denver, CO",Denver,CO,"$399,000","$2,100"
394982,"Pittsburgh, PA",Pittsburgh,PA,"$147,800","$1,200"
394998,"Portland, OR",Portland,OR,"$386,800","$1,995"
394458,"Charlotte, NC",Charlotte,NC,"$224,400","$1,505"
395045,"Sacramento, CA",Sacramento,CA,"$400,000","$1,975"
394943,"Orlando, FL",Orlando,FL,"$244,700","$1,610"
394466,"Cincinnati, OH",Cincinnati,OH,"$170,800","$1,353"
394475,"Cleveland, OH",Cleveland,OH,"$142,000","$1,149"
394735,"Kansas City, MO",Kansas City,MO,"$218,800","$1,245"
394775,"Las Vegas, NV",Las Vegas,NV,"$270,800","$1,550"
394492,"Columbus, OH",Columbus,OH,"$203,900","$1,350"
394705,"Indianapolis, IN",Indianapolis,IN,"$182,200","$1,250"
395059,"San Jose, CA",San Jose,CA,"$1,023,800","$3,675"
394355,"Austin, TX",Austin,TX,"$290,500","$1,700"
395194,"Virginia Beach, VA",Virginia Beach,VA,"$229,300","$1,400"
394902,"Nashville, TN",Nashville,TN,"$260,000","$1,695"
395005,"Providence, RI",Providence,RI,"$268,200","$1,900"
394862,"Milwaukee, WI",Milwaukee,WI,"$218,500","$1,200"
394714,"Jacksonville, FL",Jacksonville,FL,"$194,600","$1,450"
394849,"Memphis, TN",Memphis,TN,"$156,000","$1,115"
394935,"Oklahoma City, OK",Oklahoma City,OK,"$163,900","$1,145"
394807,"Louisville-Jefferson County, KY",Louisville-Jefferson County,KY,"$177,800","$1,200"
394669,"Hartford, CT",Hartford,CT,"$217,300","$1,558"
395022,"Richmond, VA",Richmond,VA,"$242,600","$1,400"
394910,"New Orleans, LA",New Orleans,LA,"$192,300","$1,450"
394425,"Buffalo, NY",Buffalo,NY,"$156,100","$1,250"
395012,"Raleigh, NC",Raleigh,NC,"$259,400","$1,550"
394388,"Birmingham, AL",Birmingham,AL,"$185,400","$1,027"
395031,"Rochester, NY",Rochester,NY,"$136,800","$1,300"
394640,"Grand Rapids, MI",Grand Rapids,MI,"$196,800","$1,350"
395167,"Tucson, AZ",Tucson,AZ,"$209,600","$1,350"
395169,"Tulsa, OK",Tulsa,OK,"$156,600","$1,050"
394619,"Fresno, CA",Fresno,CA,,"$1,500"
395238,"Worcester, MA",Worcester,MA,"$261,500","$1,500"
394415,"Stamford, CT",Stamford,CT,"$377,100","$2,800"
394308,"Albany, NY",Albany,NY,"$199,600","$1,700"
394938,"Omaha, NE",Omaha,NE,"$188,600","$1,350"
