Rank,City,State,CityState,Median Sale,Median Rent
1,New York,NY,"New York, NY",391300,3000
2,Los Angeles,CA,"Los Angeles, CA",629800,3200
3,Chicago,IL,"Chicago, IL",246500,1750
4,Dallas,TX,"Dallas, TX",257600,1750
5,Philadelphia,PA,"Philadelphia, PA",218600,1600
6,Washington,DC,"Washington, DC",392400,2250
7,Miami,FL,"Miami, FL",270400,2100
8,Atlanta,GA,"Atlanta, GA",219100,1550
9,Boston,MA,"Boston, MA",438800,2600
10,San Francisco,CA,"San Francisco, CA",790800,3410
11,Riverside,CA,"Riverside, CA",351500,2195
12,Phoenix,AZ,"Phoenix, AZ",250700,1595
13,Seattle,WA,"Seattle, WA",468700,2400
14,Saint Paul,MN,"Saint Paul, MN",265600,1700
15,San Diego,CA,"San Diego, CA",557700,2723
16,St. Louis,MO,"St. Louis, MO",166300,1100
17,Tampa,FL,"Tampa, FL",217500,1575
18,Baltimore,MD,"Baltimore, MD",251200,1625
19,Denver,CO,"Denver, CO",399000,2100
20,Pittsburgh,PA,"Pittsburgh, PA",147800,1200
21,Portland,OR,"Portland, OR",386800,1995
22,Charlotte,NC,"Charlotte, NC",224400,1505
23,Sacramento,CA,"Sacramento, CA",400000,1975
24,Orlando,FL,"Orlando, FL",244700,1610
25,Cincinnati,OH,"Cincinnati, OH",170800,1353
26,Cleveland,OH,"Cleveland, OH",142000,1149
27,Kansas City,MO,"Kansas City, MO",218800,1245
28,Las Vegas,NV,"Las Vegas, NV",270800,1550
29,Columbus,OH,"Columbus, OH",203900,1350
30,Indianapolis,IN,"Indianapolis, IN",182200,1250
31,San Jose,CA,"San Jose, CA",1023800,3675
32,Austin,TX,"Austin, TX",290500,1700
33,Virginia Beach,VA,"Virginia Beach, VA",229300,1400
34,Nashville,TN,"Nashville, TN",260000,1695
35,Providence,RI,"Providence, RI",268200,1900
36,Milwaukee,WI,"Milwaukee, WI",218500,1200
37,Jacksonville,FL,"Jacksonville, FL",194600,1450
38,Memphis,TN,"Memphis, TN",156000,1115
39,Oklahoma City,OK,"Oklahoma City, OK",163900,1145
40,Louisville,KY,"Louisville, KY",177800,1200
41,Hartford,CT,"Hartford, CT",217300,1558
42,Richmond,VA,"Richmond, VA",242600,1400
43,New Orleans,LA,"New Orleans, LA",192300,1450
44,Buffalo,NY,"Buffalo, NY",156100,1250
45,Raleigh,NC,"Raleigh, NC",259400,1550
46,Birmingham,AL,"Birmingham, AL",185400,1027
47,Rochester,NY,"Rochester, NY",136800,1300
48,Grand Rapids,MI,"Grand Rapids, MI",196800,1350
49,Tucson,AZ,"Tucson, AZ",209600,1350
50,Tulsa,OK,"Tulsa, OK",156600,1050
51,Fresno,CA,"Fresno, CA",200000,1500
52,Worcester,MA,"Worcester, MA",261500,1500
53,Stamford,CT,"Stamford, CT",377100,2800
54,Albany,NY,"Albany, NY",199600,1700
55,Omaha,NE,"Omaha, NE",188600,1350
56,New Haven,CT,"New Haven, CT",210600,1600
57,Bakersfield,CA,"Bakersfield, CA",226800,1400
58,Knoxville,TN,"Knoxville, TN",183600,1348
59,Greenville,SC,"Greenville, SC",187400,1295
60,Ventura,CA,"Ventura, CA",596100,2950
61,Allentown,PA,"Allentown, PA",185800,1450
62,El Paso,TX,"El Paso, TX",146900,1175
63,Baton Rouge,LA,"Baton Rouge, LA",179200,1295
64,Dayton,OH,"Dayton, OH",124200,950
65,Columbia,SC,"Columbia, SC",149400,1200
66,Greensboro,NC,"Greensboro, NC",156800,1195
67,Akron,OH,"Akron, OH",140300,850
68,Sarasota,FL,"Sarasota, FL",263000,2000
69,Little Rock,AR,"Little Rock, AR",155200,1000
70,Stockton,CA,"Stockton, CA",357200,2000
71,Charleston,SC,"Charleston, SC",242800,1750
72,Syracuse,NY,"Syracuse, NY",141900,1350
73,Colorado Springs,CO,"Colorado Springs, CO",300300,1650
74,Winston-Salem,NC,"Winston-Salem, NC",155000,1249
75,Wichita,KS,"Wichita, KS",154000,900
76,Springfield,MA,"Springfield, MA",204800,1513
77,Fort Myers,FL,"Fort Myers, FL",223600,1700
78,Boise City,ID,"Boise City, ID",279200,1499
79,Toledo,OH,"Toledo, OH",126100,850
80,Madison,WI,"Madison, WI",254600,1600
81,Lakeland,FL,"Lakeland, FL",178400,1395
82,Ogden,UT,"Ogden, UT",285800,1500
83,Daytona Beach,FL,"Daytona Beach, FL",202200,1500
84,Des Moines,IA,"Des Moines, IA",199600,1250
85,Youngstown,OH,"Youngstown, OH",90600,750
86,Augusta,GA,"Augusta, GA",155300,1150
87,Scranton,PA,"Scranton, PA",110300,1000
88,Harrisburg,PA,"Harrisburg, PA",167500,1295
89,Melbourne,FL,"Melbourne, FL",213500,1513
90,Chattanooga,TN,"Chattanooga, TN",181900,1395
91,Spokane,WA,"Spokane, WA",238000,1397
92,Lancaster,PA,"Lancaster, PA",210400,1200
93,Modesto,CA,"Modesto, CA",311500,1650
94,Durham,NC,"Durham, NC",253300,1525
95,Santa Rosa,CA,"Santa Rosa, CA",603400,2800
96,Lexington,KY,"Lexington, KY",177800,1195
97,Lafayette,LA,"Lafayette, LA",165200,1100
98,Lansing,MI,"Lansing, MI",151500,985
99,Fayetteville,AR,"Fayetteville, AR",190600,1300
100,Pensacola,FL,"Pensacola, FL",189000,1275
