City,State,lon,lat,CityState,Median Sale,Median Rent,# of Whole Foods (15km radius)
New York,NY,-73.99,40.73,"New York, NY",391300,3000,20
Los Angeles,CA,-118.24,34.05,"Los Angeles, CA",629800,3200,9
Chicago,IL,-87.62,41.88,"Chicago, IL",246500,1750,15
Dallas,TX,-96.8,32.78,"Dallas, TX",257600,1750,10
Philadelphia,PA,-75.16,39.95,"Philadelphia, PA",218600,1600,7
Washington,DC,-77.04,38.9,"Washington, DC",392400,2250,17
Miami,FL,-80.19,25.77,"Miami, FL",270400,2100,9
Atlanta,GA,-84.39,33.75,"Atlanta, GA",219100,1550,7
Boston,MA,-71.06,42.36,"Boston, MA",438800,2600,20
San Francisco,CA,-122.42,37.78,"San Francisco, CA",790800,3410,18
Riverside,CA,-117.4,33.95,"Riverside, CA",351500,2195,5
Phoenix,AZ,-112.08,33.45,"Phoenix, AZ",250700,1595,4
Seattle,WA,-122.33,47.6,"Seattle, WA",468700,2400,8
Saint Paul,MN,-93.1,44.95,"Saint Paul, MN",265600,1700,4
San Diego,CA,-117.16,32.72,"San Diego, CA",557700,2723,1
St. Louis,MO,-90.2,38.63,"St. Louis, MO",166300,1100,4
Tampa,FL,-82.46,27.95,"Tampa, FL",217500,1575,6
Baltimore,MD,-76.61,39.29,"Baltimore, MD",251200,1625,2
Denver,CO,-104.98,39.74,"Denver, CO",399000,2100,10
Pittsburgh,PA,-79.99,40.44,"Pittsburgh, PA",147800,1200,2
Portland,OR,-97.32,27.88,"Portland, OR",386800,1995,1
Charlotte,NC,-80.84,35.23,"Charlotte, NC",224400,1505,7
Sacramento,CA,-121.49,38.58,"Sacramento, CA",400000,1975,1
Orlando,FL,-81.38,28.54,"Orlando, FL",244700,1610,9
Cincinnati,OH,-84.51,39.1,"Cincinnati, OH",170800,1353,7
Cleveland,OH,-81.69,41.51,"Cleveland, OH",142000,1149,3
Kansas City,MO,-94.56,39.08,"Kansas City, MO",218800,1245,1
Las Vegas,NV,-115.15,36.17,"Las Vegas, NV",270800,1550,3
Columbus,OH,-84.99,32.46,"Columbus, OH",203900,1350,0
Indianapolis,IN,-86.16,39.77,"Indianapolis, IN",182200,1250,5
